lx-10th-1,template-one-column,lx-10th-chap1,,,,"第一輯 中國唯一的火車醫院 ─「健康快車」
第二輯 貧困的白內障患者
第三輯 火車醫院與基地醫院
第四輯 看得見，可以回家了
第五輯 默默耕耘的醫療隊伍
第六輯 社會各界對火車醫院的關注
第七輯 籌募工作
"
lx-10th-2,template-50-50,lx-10th-chap1,lx-10th_Page_016_Image_0001.jpg,中國唯一的火車醫院 ─ 「健康快車」, 這是「健康快車」，中國唯一的火車醫院，它有四節車廂，是專為貧困白內障患者免費做手術的慈善眼科醫院。,10年來，3列健康快車眼科火車醫院走過了23個省，62個地區的74個停靠點，免費為貧困白內障患者做了超過7萬個手術。
lx-10th-3,template-img-capt,lx-10th-chap1,lx-10th_Page_017_Image_0001.jpg,, 「健康快車」的停靠點可在農田邊，搭上竹棚，擋上酷熱的陽光。 ,
lx-10th-4,template-img-capt,lx-10th-chap1,lx-10th_Page_018_Image_0001.jpg,,有時停靠在地方的糧庫裡。 ,
lx-10th-5,template-img-capt,lx-10th-chap1,lx-10th_Page_019_Image_0001.jpg,,或停靠在火車機務段內。,
lx-10th-6,template-img-capt,lx-10th-chap1,lx-10th_Page_020_Image_0001.jpg,,更曾停靠在凌亂的貨場上。 ,
lx-10th-7,template-img-capt,lx-10th-chap1,lx-10th_Page_021_Image_0001.jpg,,總之，都是孤獨的停靠在貧困偏僻地區的鐵路盲端。,
lx-10th-8,template-img-capt,lx-10th-chap1,lx-10th_Page_022_Image_0001.jpg,,「健康快車」需靠別的動力機車，輾轉的帶到停靠點。,
lx-10th-9,template-50-50,lx-10th-chap2,lx-10th_Page_023_Image_0001.jpg,貧困的白內障患者,在中國農村有數百萬無力治療的貧困白內障患者，像這個少年一般只能向外邊寄予夢想。,火車醫院停在偏遠的停靠點，需要當地殘聯、婦聯和衛生部門的力量，把病人從各鄉、各縣、各村送到基地醫院做第一次全面體檢，檢查完後將他們送回各自的鄉村。當火車醫院到達後，當地衛生部門負責把體檢合格的病人一批一批地送到火車醫院上做手術。這些病人多是提早1至2天到達，在基地醫院接受第二次身體檢查，再送上火車醫院做手術。 
lx-10th-10,template-img-capt,lx-10th-chap2,lx-10th_Page_024_Image_0001.jpg,,患白內障的孩子，要這樣辛苦的學習。 ,
